Policy Number,Number of Vehicles,Average Age,Gender Dummy,Married Dummy,Avg Veh Age,Fuel Type Dummy,Losses
115565,1,65.1,0,0,12.97,0,28.52569444
179862,1,20.6,1,0,12.97,0,413.9661157
156612,1,42.4,1,1,8.02,0,396.5517713
160282,1,20.6,1,1,12.97,1,550.0535565
181059,1,20.6,0,1,2.5,1,768.3369443
146711,1,65.1,0,1,2.5,0,430.2457695
198926,1,65.1,0,1,12.97,0,57.96961012
108827,1,20.6,0,1,8.02,0,422.6834837
165557,1,42.4,1,1,12.97,0,298.8722661
192032,1,20.6,1,1,12.97,0,376.1669213
167570,1,42.4,0,1,8.02,0,428.8765231
172196,1,20.6,1,1,12.97,1,619.623702
104695,1,65.1,0,1,8.02,0,357.0767817
109581,1,65.1,0,1,12.97,0,36.73113056
125470,1,42.4,1,1,2.5,1,513.9091147
146889,1,42.4,1,1,8.02,0,383.0935474
183736,1,20.6,1,0,8.02,1,775.5602497
188360,1,42.4,1,1,2.5,1,688.1633261
137629,1,20.6,1,0,12.97,0,250.0483034
123394,1,42.4,0,0,12.97,0,151.2591629
111554,1,65.1,0,1,8.02,0,96.57177764
164809,1,65.1,0,1,8.02,0,156.106545
125588,1,20.6,1,1,8.02,1,1036.422302
110830,1,20.6,0,1,8.02,0,465.6053779
130427,1,42.4,0,0,2.5,1,596.5321778
116082,1,42.4,1,0,2.5,1,514.6965606
146750,1,20.6,0,0,12.97,1,540.6418989
101703,1,65.1,0,0,2.5,0,35.48597259
165002,1,65.1,0,1,8.02,0,92.7900941
133073,1,20.6,1,1,12.97,1,655.1327292
199193,1,42.4,1,1,2.5,1,771.279313
169904,1,42.4,1,1,8.02,1,555.0751738
164381,1,20.6,1,0,12.97,0,289.320228
101325,1,20.6,0,0,12.97,0,319.7637959
125818,1,65.1,0,1,8.02,0,380.0193648
150975,1,42.4,1,1,8.02,0,402.9137936
136723,1,65.1,1,1,8.02,0,217.1632874
115009,1,42.4,0,1,12.97,0,275.294995
183198,1,65.1,1,1,2.5,1,796.0709274
118167,1,65.1,1,1,8.02,0,56.27149032
181893,1,42.4,0,1,2.5,1,713.2035955
193579,1,42.4,1,0,12.97,0,140.7946555
134526,1,65.1,1,1,12.97,0,290.7360244
162909,1,65.1,1,0,2.5,0,203.0429805
160490,1,42.4,1,0,2.5,1,516.9890908
100366,1,42.4,0,0,12.97,0,202.4587138
139754,1,42.4,0,1,8.02,0,428.4593856
159663,1,20.6,0,1,12.97,1,516.0790928
153203,1,65.1,0,0,12.97,0,256.9014828
109485,1,42.4,0,0,2.5,0,376.2971849
159668,1,20.6,1,1,12.97,1,1070.204776
148260,1,42.4,1,0,12.97,0,370.6966267
180191,1,20.6,0,1,12.97,0,266.0967514
180237,1,42.4,0,0,8.02,0,311.9191271
139893,1,20.6,0,1,12.97,0,429.8619791
155317,1,42.4,1,1,2.5,1,818.0944497
102276,1,42.4,0,0,12.97,0,320.2940291
115581,1,20.6,0,0,12.97,0,183.2307779
156261,1,20.6,0,1,12.97,1,564.7148465
192333,1,65.1,0,0,8.02,0,110.3300495
111841,1,65.1,0,1,2.5,0,465.658248
174729,1,65.1,1,1,12.97,0,172.5265908
179628,1,20.6,1,0,12.97,0,360.8051782
154549,1,20.6,0,0,2.5,1,837.3677817
181334,1,42.4,0,0,12.97,0,128.8692649
165949,1,20.6,0,1,8.02,0,484.6961144
190391,1,42.4,1,0,2.5,0,487.8515553
115290,1,20.6,1,0,2.5,1,989.6964115
100313,1,65.1,0,1,8.02,0,165.9840948
151108,1,20.6,0,0,12.97,0,166.5373225
149292,1,42.4,1,0,2.5,1,692.538638
158875,1,20.6,1,0,12.97,1,512.8447128
191995,1,42.4,1,0,2.5,1,628.6211982
129391,1,42.4,1,1,8.02,0,437.5853059
136475,1,65.1,1,1,8.02,0,244.1284514
123896,1,20.6,1,0,8.02,0,479.0179823
187193,1,42.4,1,0,8.02,0,321.0614316
193212,1,20.6,1,0,8.02,0,328.3589705
108450,1,65.1,1,0,8.02,0,387.2442899
169347,1,20.6,1,0,12.97,0,235.0776441
164942,1,42.4,0,0,2.5,0,395.6067606
141819,1,65.1,1,1,12.97,0,65.68992357
111740,1,65.1,1,1,8.02,0,296.012821
193972,1,42.4,0,0,12.97,0,159.3673423
125668,1,20.6,1,0,12.97,0,476.5346165
161764,1,42.4,0,1,2.5,1,509.0594248
154044,1,20.6,0,0,12.97,0,351.8847284
153568,1,42.4,0,0,2.5,1,522.9070466
188603,1,42.4,1,0,8.02,0,314.1997614
160890,1,42.4,1,1,12.97,0,200.7912195
114690,1,20.6,0,0,12.97,0,303.4043979
117035,1,20.6,0,1,8.02,1,787.7636887
161490,1,65.1,0,0,12.97,0,99.83090559
173164,1,20.6,0,0,12.97,0,250.2204478
143977,1,42.4,0,0,2.5,0,488.6956097
163639,1,42.4,1,0,2.5,1,561.796776
149434,1,20.6,0,1,12.97,0,415.4689569
149512,1,20.6,0,1,8.02,1,777.5951773
157115,1,42.4,0,1,8.02,0,355.8158451
175097,1,42.4,1,0,12.97,0,356.572264
196651,1,65.1,0,1,8.02,0,327.935663
195249,1,42.4,0,0,8.02,0,300.7818655
127336,1,20.6,1,0,2.5,1,770.4316087
137641,1,42.4,1,0,2.5,1,689.2935821
165330,1,65.1,0,0,8.02,0,151.2848344
192598,1,42.4,0,1,2.5,1,696.0295489
146908,1,42.4,1,0,12.97,0,237.0227564
180115,1,20.6,0,0,12.97,0,310.3054332
177343,1,65.1,1,1,8.02,0,411.4934109
117839,1,42.4,0,1,2.5,1,629.444886
149617,1,42.4,1,0,8.02,0,393.3264183
126692,1,42.4,0,0,2.5,1,571.9363703
111093,1,20.6,0,0,12.97,0,282.4138477
135757,1,42.4,1,1,8.02,0,454.822674
117846,1,42.4,0,1,2.5,0,478.456794
155784,1,42.4,1,1,12.97,0,193.0311549
164611,1,20.6,1,0,12.97,0,409.9010323
121723,1,42.4,1,1,12.97,1,509.1345942
133288,1,42.4,1,1,8.02,0,423.7222281
190115,1,42.4,0,1,12.97,0,344.2283454
127988,1,42.4,1,0,12.97,0,182.4160381
132030,1,42.4,0,0,12.97,0,161.1440266
101870,1,42.4,1,0,8.02,0,355.735993
140905,1,20.6,0,0,12.97,0,328.8843527
198778,1,42.4,1,0,8.02,0,324.5803862
126147,1,65.1,0,1,8.02,0,454.9945793
160412,1,42.4,1,1,2.5,1,762.0191521
103140,1,65.1,0,1,12.97,0,289.5307529
149881,1,42.4,0,1,2.5,0,458.5579608
144509,1,42.4,0,0,12.97,0,258.8203437
168461,1,20.6,1,1,12.97,1,586.595506
168054,1,65.1,1,0,2.5,0,159.269216
146863,1,42.4,0,1,12.97,0,147.7489935
120221,1,42.4,0,0,8.02,0,308.8097112
129905,1,65.1,0,1,2.5,0,254.7680456
134778,1,42.4,1,1,8.02,1,517.2833796
197721,1,65.1,1,1,2.5,0,105.4432074
136859,1,65.1,0,0,2.5,0,39.95489011
190111,1,65.1,1,0,2.5,0,302.4864881
130480,1,42.4,0,0,8.02,0,311.3847328
196071,1,20.6,1,0,12.97,0,335.7048594
173780,1,20.6,0,0,12.97,0,197.9280454
148128,1,65.1,0,0,2.5,0,81.55524621
134743,1,42.4,0,1,8.02,0,408.0924936
100484,1,65.1,1,1,12.97,0,35.74744486
134903,1,65.1,1,1,12.97,0,319.9288788
195830,1,42.4,0,1,2.5,1,590.2667386
113558,1,42.4,0,1,2.5,1,525.5303261
167211,1,42.4,1,1,2.5,1,939.0853092
115864,1,20.6,1,0,12.97,1,554.2015344
162203,1,20.6,1,1,12.97,0,310.8532989
167577,1,42.4,0,1,2.5,1,877.9333318
142500,1,20.6,0,1,12.97,0,156.6693023
159595,1,20.6,0,1,12.97,1,519.6358893
168966,1,65.1,0,1,8.02,0,103.2503942
133980,1,20.6,1,0,12.97,1,546.9662639
124584,1,65.1,1,1,8.02,0,330.1496076
122265,1,20.6,1,0,12.97,1,655.2242872
141110,1,20.6,1,0,12.97,0,479.7951029
117962,1,20.6,0,0,8.02,1,517.2311218
171724,1,65.1,0,1,2.5,0,71.76435204
139558,1,65.1,1,1,2.5,0,131.0544977
105488,1,42.4,0,1,2.5,1,648.3377527
168484,1,42.4,1,0,12.97,0,341.0717472
189773,1,20.6,1,0,12.97,1,511.7329733
153899,1,20.6,1,0,12.97,0,252.3853189
129663,1,20.6,0,0,12.97,0,187.9585249
101567,1,65.1,0,1,2.5,0,153.8388035
163248,1,65.1,1,0,2.5,0,94.0483353
148293,1,42.4,1,0,12.97,0,208.3574065
184812,1,42.4,1,0,2.5,0,396.8456932
105539,1,20.6,0,0,8.02,0,296.0244249
173771,1,65.1,1,0,2.5,0,75.81174432
137967,1,42.4,0,0,2.5,0,448.5662485
102783,1,65.1,0,0,12.97,0,130.9914388
184349,1,42.4,1,0,12.97,0,147.2741212
190032,1,20.6,0,1,12.97,1,640.2131123
112590,1,20.6,1,0,8.02,0,420.4922713
137410,1,20.6,0,0,12.97,0,396.1408555
186036,1,20.6,1,0,8.02,0,478.3520156
176062,1,42.4,0,0,8.02,0,292.5163921
100180,1,42.4,0,0,2.5,1,527.9214511
110357,1,20.6,0,0,12.97,0,246.7103971
145580,1,65.1,1,0,2.5,0,169.4418198
104748,1,42.4,1,1,8.02,0,440.4587335
146750,1,42.4,0,0,8.02,0,289.6606846
192607,1,20.6,1,1,12.97,1,681.6009788
146111,1,65.1,0,0,2.5,0,162.021823
143694,1,42.4,0,1,12.97,0,237.9548251
148898,1,42.4,1,1,2.5,1,726.0985559
141146,1,42.4,1,1,2.5,1,728.5124594
166390,1,42.4,1,1,8.02,0,445.3525652
180607,1,42.4,0,1,8.02,0,427.1032675
179326,1,42.4,1,0,12.97,0,264.9045348
185143,1,20.6,1,0,12.97,0,317.4901628
136163,1,20.6,0,0,12.97,0,356.4554345
154374,1,65.1,1,1,2.5,1,639.261733
199927,1,65.1,1,0,12.97,0,152.0660029
199878,1,42.4,1,0,2.5,1,598.6892757
188214,1,20.6,0,0,8.02,0,382.4581608
101548,1,20.6,1,0,8.02,0,339.775025
166046,1,65.1,0,0,8.02,0,97.0052298
138579,1,42.4,1,0,12.97,0,167.8386883
127036,1,20.6,0,1,12.97,1,622.0789033
121820,1,42.4,0,0,12.97,0,196.5073839
169545,1,42.4,1,1,8.02,0,489.774795
169825,1,20.6,1,0,12.97,0,307.9160669
144994,1,42.4,0,1,2.5,1,581.3363152
139461,1,42.4,0,0,8.02,0,324.7471949
163644,1,42.4,1,0,2.5,1,546.5349024
129990,1,42.4,0,1,8.02,0,379.2612055
131839,1,65.1,0,0,8.02,0,122.8351382
181986,1,65.1,1,0,2.5,0,401.9377187
154666,1,65.1,1,0,8.02,0,39.06923279
182160,1,20.6,1,0,12.97,1,604.5968924
177869,1,42.4,1,1,8.02,0,352.1776675
110303,1,42.4,0,1,12.97,0,323.3784995
169168,1,20.6,1,0,12.97,0,180.2839243
185206,1,65.1,0,0,8.02,0,299.7655866
152972,1,20.6,1,0,12.97,1,583.9925703
113499,1,42.4,0,1,8.02,0,484.2868664
195644,1,42.4,1,0,8.02,0,425.3481104
103619,1,65.1,0,0,12.97,0,40.93404521
130134,1,65.1,0,1,8.02,0,127.4005318
114614,1,42.4,1,0,8.02,0,332.1391406
188548,1,42.4,1,0,8.02,0,382.1779015
135088,1,42.4,1,0,12.97,0,201.8179313
151309,1,20.6,1,0,8.02,0,449.274253
196582,1,20.6,0,0,12.97,0,479.4391977
155991,1,65.1,1,0,8.02,0,206.7379713
146137,1,65.1,1,1,8.02,0,48.10845199
109884,1,20.6,1,0,12.97,0,333.2548377
135730,1,42.4,1,1,2.5,1,800.6210897
190584,1,20.6,0,0,12.97,0,181.7398301
147410,1,65.1,0,0,8.02,0,207.5631629
159859,1,65.1,0,0,12.97,0,44.85076261
161857,1,42.4,0,1,8.02,0,389.6227552
177000,1,20.6,1,0,8.02,0,456.2160705
120501,1,42.4,1,1,2.5,1,780.2021419
161478,1,20.6,1,1,12.97,1,852.9917769
118010,1,65.1,1,0,2.5,0,298.1251488
191306,1,42.4,0,1,2.5,1,517.2484855
101617,1,20.6,0,1,12.97,0,227.3336458
165122,1,42.4,1,0,8.02,0,395.9018181
150893,1,20.6,0,1,12.97,0,238.1623425
171784,1,20.6,1,0,8.02,1,623.8842385
192894,1,65.1,0,1,8.02,0,188.1206318
184178,1,20.6,1,0,2.5,1,544.2032325
117590,1,20.6,1,1,12.97,0,325.562891
103030,1,20.6,0,0,12.97,0,182.8039805
139116,1,65.1,0,1,12.97,0,155.5223241
133134,1,42.4,0,1,2.5,1,502.7124322
127011,1,42.4,1,1,12.97,0,262.9411765
105550,1,42.4,1,0,8.02,0,324.1466938
137242,1,42.4,0,0,8.02,0,312.2857892
103067,1,42.4,0,1,12.97,0,205.9058749
128105,1,42.4,0,1,12.97,0,367.8672027
183795,1,65.1,0,0,12.97,0,165.6764223
172178,1,20.6,1,0,12.97,0,451.8458055
180064,1,42.4,1,0,8.02,0,354.9675474
110870,1,42.4,1,0,8.02,0,375.07503
196933,1,20.6,1,1,8.02,1,841.6097425
156933,1,20.6,1,1,12.97,1,565.75928
157911,1,65.1,1,0,12.97,0,341.8587982
163306,1,42.4,0,1,8.02,0,407.1739205
161277,1,20.6,0,1,12.97,1,559.1451267
117086,1,20.6,1,0,12.97,1,547.4455297
158744,1,42.4,1,1,12.97,0,169.8042272
195112,1,20.6,1,0,2.5,1,1066.302464
192661,1,20.6,0,0,12.97,0,250.8077066
116768,1,42.4,0,0,12.97,0,188.8132454
178402,1,20.6,0,1,12.97,1,567.0537545
157188,1,20.6,0,0,2.5,0,345.0465518
119640,1,42.4,1,0,12.97,0,315.3474326
106186,1,20.6,0,1,12.97,1,656.1548087
136386,1,42.4,0,0,2.5,0,461.9718465
172482,1,42.4,0,1,8.02,0,377.9836825
190872,1,20.6,1,1,8.02,1,684.6526982
112220,1,20.6,0,0,12.97,0,144.4525566
162140,1,42.4,0,1,8.02,0,401.6252338
172063,1,65.1,0,1,2.5,0,253.4663373
159881,1,42.4,1,0,12.97,0,144.4791732
158441,1,20.6,0,1,12.97,0,227.3926774
139083,1,20.6,1,0,8.02,1,643.5273912
126513,1,20.6,1,0,8.02,0,324.5930853
157712,1,20.6,1,0,12.97,0,167.9065824
123461,1,20.6,0,0,12.97,0,164.3226813
110371,1,42.4,0,1,12.97,0,286.5238132
178117,1,42.4,0,0,8.02,0,278.9689585
180764,1,20.6,1,0,12.97,1,545.648712
120396,1,42.4,1,1,12.97,0,257.7397425
160342,1,42.4,1,0,12.97,0,268.77102
100931,1,20.6,0,0,12.97,0,387.2362217
111247,1,42.4,0,1,2.5,1,666.6766088
146672,1,42.4,0,1,12.97,0,363.980308
186335,1,42.4,1,0,12.97,0,124.3721637
134430,1,20.6,1,1,12.97,1,727.2299234
173346,1,20.6,0,0,12.97,0,256.8966878
100739,1,65.1,1,0,8.02,0,96.75876211
124356,1,20.6,0,0,12.97,0,228.6247326
122304,1,65.1,0,0,8.02,0,117.5752762
148403,1,65.1,1,1,8.02,0,264.2712706
169949,1,42.4,1,1,2.5,1,836.2796454
165319,1,65.1,1,1,2.5,0,308.9019548
103054,1,42.4,1,0,12.97,0,183.7265292
139550,1,65.1,1,0,12.97,0,138.3989724
153354,1,20.6,0,1,12.97,1,671.5230097
140938,1,42.4,0,1,12.97,0,191.0414252
149303,1,20.6,0,0,8.02,0,445.6656637
166431,1,42.4,0,0,2.5,1,587.121065
128867,1,20.6,1,0,12.97,0,201.2702657
186334,1,20.6,0,1,8.02,0,484.2131818
129404,1,42.4,1,0,8.02,0,360.8718623
138395,1,20.6,1,0,12.97,0,268.9314723
191140,1,42.4,0,1,8.02,0,383.44538
133591,1,42.4,0,1,8.02,0,418.456828
104826,1,65.1,1,0,12.97,0,124.498519
164938,1,20.6,1,1,12.97,1,673.1939661
139800,1,42.4,0,0,8.02,0,292.8056952
134774,1,42.4,1,0,8.02,0,363.9739969
124523,1,20.6,1,1,12.97,1,703.1834416
122527,1,20.6,1,0,12.97,1,510.3590398
105418,1,65.1,0,1,8.02,0,41.57656736
172805,1,20.6,1,0,12.97,0,260.2345014
105262,1,42.4,0,1,8.02,0,385.7485614
158249,1,42.4,0,0,8.02,0,334.7612678
170144,1,42.4,1,1,12.97,0,274.8857402
191160,1,20.6,0,0,12.97,0,216.4240688
191628,1,42.4,1,1,8.02,0,405.4731829
198045,1,42.4,1,1,2.5,1,684.9800141
155792,1,42.4,0,1,12.97,0,150.5320913
132277,1,20.6,0,1,2.5,1,673.3517116
147909,1,42.4,0,0,12.97,0,218.9770126
182915,1,42.4,0,1,12.97,0,281.440499
143075,1,65.1,0,0,2.5,0,146.0636593
104525,1,42.4,0,1,2.5,1,809.1460715
154713,1,20.6,1,1,12.97,1,1023.788951
150038,1,42.4,0,1,8.02,0,475.6477521
183774,1,20.6,1,0,12.97,0,412.3728753
131000,1,65.1,1,0,2.5,0,156.7486616
142771,1,42.4,0,0,12.97,0,283.6638328
193862,1,42.4,0,0,2.5,0,360.7519195
175991,1,65.1,1,0,8.02,0,239.2136809
112584,1,20.6,0,1,12.97,0,234.8382168
178839,1,42.4,1,1,8.02,1,522.5136507
178579,1,42.4,0,0,8.02,0,291.6776414
188144,1,20.6,0,0,8.02,0,224.8163937
168426,1,42.4,0,0,2.5,0,419.5637371
121837,1,42.4,0,1,8.02,0,395.6273655
185498,1,20.6,1,1,12.97,1,648.4970615
187994,1,20.6,1,1,12.97,0,389.7294061
144980,1,42.4,1,1,12.97,0,235.7394144
165791,1,42.4,1,1,12.97,0,155.9301797
136578,1,20.6,0,1,8.02,1,772.0719204
104486,1,20.6,1,1,12.97,1,738.7166747
127936,1,65.1,0,1,2.5,0,476.4294007
142200,1,65.1,0,1,8.02,0,47.27603743
132773,1,42.4,0,0,8.02,0,308.5713815
174649,1,20.6,0,1,8.02,1,614.8820182
107218,1,42.4,1,0,12.97,0,280.7923877
110966,1,20.6,0,1,2.5,1,659.2477512
134067,1,42.4,0,0,8.02,0,312.7213527
198001,1,42.4,0,0,8.02,0,337.6700037
112751,1,42.4,0,1,12.97,0,272.2594633
110330,1,20.6,1,0,12.97,0,443.3265557
152850,1,42.4,0,0,12.97,0,136.4526367
137449,1,42.4,1,0,2.5,1,668.780303
146254,1,65.1,1,0,8.02,0,36.63901131
177554,1,20.6,1,0,12.97,1,694.5794472
161868,1,65.1,0,0,2.5,0,318.332047
157353,1,65.1,1,1,8.02,0,229.6906948
127572,1,20.6,1,1,8.02,1,983.6492536
110946,1,42.4,1,1,2.5,1,675.7091855
179609,1,65.1,0,1,12.97,0,110.6599318
108007,1,20.6,0,1,12.97,0,447.3969202
139453,1,65.1,1,1,2.5,0,228.5962068
165686,1,20.6,0,0,12.97,0,441.8763829
108319,1,20.6,0,1,8.02,1,698.2797078
144855,1,65.1,1,1,8.02,0,235.8586141
163531,1,20.6,0,0,12.97,0,294.094824
150077,1,65.1,1,0,2.5,0,345.2723201
191011,1,42.4,0,1,2.5,1,837.4720719
191637,1,42.4,0,1,12.97,0,340.3533667
118853,1,65.1,0,1,8.02,0,292.0086982
190042,1,42.4,1,0,8.02,0,398.6963317
113232,1,20.6,1,1,12.97,1,810.3321729
129426,1,42.4,1,0,8.02,0,356.072465
161923,1,42.4,0,1,12.97,0,376.4717043
143315,1,65.1,1,0,12.97,0,162.5111147
112537,1,20.6,0,0,8.02,0,391.2488532
189651,1,42.4,0,0,8.02,0,283.7506272
175053,1,42.4,1,0,8.02,0,346.3474987
149333,1,42.4,0,1,8.02,0,402.3212675
106020,1,20.6,1,0,2.5,1,776.9765728
172144,1,42.4,1,0,2.5,1,644.72313
181343,1,20.6,0,1,12.97,0,385.8799478
165969,1,42.4,1,0,8.02,0,321.4892996
175204,1,42.4,1,1,8.02,0,435.959851
188905,1,42.4,0,0,8.02,0,303.1333791
174333,1,42.4,0,0,2.5,1,556.9123571
167470,1,20.6,0,1,2.5,1,1037.373455
120965,1,20.6,0,1,12.97,0,302.3470413
177195,1,65.1,1,1,12.97,0,117.101737
140290,1,20.6,1,1,12.97,1,963.5760233
117642,1,65.1,1,1,12.97,0,95.64112278
104411,1,42.4,0,0,2.5,0,418.6738227
182169,1,65.1,0,1,2.5,0,342.2447597
154432,1,65.1,0,0,12.97,0,102.3352065
106539,1,65.1,0,1,12.97,0,41.48382202
195625,1,42.4,0,0,8.02,0,307.3220363
196635,1,42.4,0,1,2.5,1,686.6217767
193413,1,65.1,1,1,8.02,0,167.0764612
191094,1,65.1,1,0,2.5,1,550.5213257
179271,1,20.6,1,1,12.97,1,586.5806227
189951,1,42.4,0,0,12.97,0,338.521163
126236,1,42.4,1,0,2.5,1,648.4727226
130761,1,65.1,1,0,12.97,0,95.24364537
170986,1,20.6,1,1,12.97,0,493.8180385
157919,1,20.6,1,1,8.02,1,1020.797227
127745,1,20.6,1,0,8.02,0,470.7737738
