,Price,Age,KM,FuelType,HP,MetColor,Automatic,CC,Doors,Weight,AutoType,MetColorType
175,21950,8,9788,Petrol,110,1,0,1600,5,1130,Manual,Metcolor
176,19950,8,8574,Petrol,110,1,0,1600,5,1130,Manual,Metcolor
177,18950,8,7000,Petrol,110,0,0,1600,5,1115,Manual,NonMetcolor
178,19950,7,6250,Petrol,110,1,0,1600,5,1115,Manual,Metcolor
179,21950,8,5000,Petrol,110,1,0,1600,5,1130,Manual,Metcolor
180,22500,6,3000,Petrol,110,0,0,1600,5,1130,Manual,NonMetcolor
181,18500,7,2000,Petrol,110,0,0,1600,5,1075,Manual,NonMetcolor
182,18700,7,450,Petrol,97,1,0,1400,5,1110,Manual,Metcolor
183,21125,2,225,Petrol,97,1,0,1400,5,1110,Manual,Metcolor
184,21500,2,15,Petrol,110,1,0,1600,5,1130,Manual,Metcolor
185,17795,1,1,Petrol,98,1,0,1400,4,1100,Manual,Metcolor
186,18245,1,1,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
187,6950,43,243000,Diesel,69,0,0,1900,3,1110,Manual,NonMetcolor
188,9500,38,180638,Diesel,90,0,0,2000,4,1160,Manual,NonMetcolor
189,11950,40,179860,Diesel,90,1,0,2000,5,1205,Manual,Metcolor
190,7750,43,178858,CNG,110,0,0,1600,3,1084,Manual,NonMetcolor
191,11950,40,161000,Diesel,69,1,0,1900,3,1105,Manual,Metcolor
192,4350,44,158320,Diesel,69,0,0,1800,5,1110,Manual,NonMetcolor
193,4750,44,131273,Diesel,69,1,0,1800,5,1110,Manual,Metcolor
194,11750,40,130062,Diesel,69,1,0,1900,5,1140,Manual,Metcolor
195,13250,41,123425,Diesel,69,1,0,1900,5,1140,Manual,Metcolor
196,11950,37,118217,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
197,11900,44,110000,Diesel,69,1,0,1900,5,1095,Manual,Metcolor
198,14750,39,108847,Diesel,90,1,0,2000,5,1205,Manual,Metcolor
199,9950,42,105699,Petrol,97,1,0,1400,3,1025,Manual,Metcolor
200,11950,39,98823,CNG,110,1,0,1600,5,1119,Manual,Metcolor
201,11495,44,96829,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
202,11250,40,96518,Petrol,97,1,0,1400,3,1025,Manual,Metcolor
203,10500,42,92204,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
204,10450,35,91456,Diesel,69,1,0,1900,3,1110,Manual,Metcolor
205,12950,43,89968,Diesel,69,1,0,1900,5,1140,Manual,Metcolor
206,11500,44,89757,Petrol,110,1,0,1600,3,1045,Manual,Metcolor
207,12500,40,85389,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
208,10950,43,85017,Petrol,97,0,0,1400,5,1060,Manual,NonMetcolor
209,11450,41,84312,Petrol,110,0,0,1600,5,1080,Manual,NonMetcolor
210,11950,37,82743,CNG,110,1,0,1600,5,1121,Manual,Metcolor
211,13250,41,81106,Diesel,69,1,0,1900,5,1140,Manual,Metcolor
212,14750,40,80425,Diesel,90,1,0,2000,5,1205,Manual,Metcolor
213,11790,34,78677,Petrol,110,1,1,1600,5,1105,Auto,Metcolor
214,11450,40,78425,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
215,13500,33,78108,Diesel,90,1,0,2000,3,1170,Manual,Metcolor
216,10950,33,77321,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
217,13500,33,75699,Diesel,69,0,0,1900,3,1105,Manual,NonMetcolor
218,10950,41,75697,Petrol,97,1,0,1400,3,1025,Manual,Metcolor
219,10950,44,74846,Petrol,97,1,0,1400,3,1025,Manual,Metcolor
220,12950,38,74319,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
221,11950,43,74285,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
222,12450,44,74172,Petrol,110,1,0,1600,5,1615,Manual,Metcolor
223,11950,40,73042,Petrol,110,1,0,1598,5,1075,Manual,Metcolor
224,14950,44,71793,CNG,110,1,0,1600,4,1067,Manual,Metcolor
225,12450,35,71200,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
226,12950,38,67805,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
227,11950,35,65988,Petrol,110,1,0,1600,3,1040,Manual,Metcolor
228,11690,34,65345,Petrol,97,1,0,1400,5,1060,Manual,Metcolor
229,12450,42,64564,Petrol,110,1,0,1600,5,1080,Manual,Metcolor
230,12750,36,63459,Petrol,97,1,0,1400,5,1060,Manual,Metcolor
231,11925,44,63451,Petrol,97,0,0,1400,3,1025,Manual,NonMetcolor
232,12950,33,62000,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
233,11950,42,61300,Petrol,97,1,0,1400,3,1030,Manual,Metcolor
234,12900,41,61200,Petrol,110,1,0,1600,3,1045,Manual,Metcolor
235,11900,41,61000,Petrol,110,0,0,1600,5,1075,Manual,NonMetcolor
236,11650,38,60829,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
237,10950,44,60500,Petrol,110,0,0,1600,5,1075,Manual,NonMetcolor
238,13950,35,59500,Diesel,69,1,0,1900,3,1110,Manual,Metcolor
239,13950,44,59000,Petrol,110,0,1,1600,5,1110,Auto,NonMetcolor
240,11950,40,58954,Petrol,110,1,0,1600,5,1080,Manual,Metcolor
241,10950,38,58798,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
242,12450,38,58363,Petrol,110,1,0,1600,3,1055,Manual,Metcolor
243,11950,43,58277,Petrol,110,1,0,1600,3,1045,Manual,Metcolor
244,13500,33,57711,Diesel,90,1,0,2000,3,1165,Manual,Metcolor
245,11690,33,57269,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
246,13500,39,56001,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
247,11950,42,55968,Petrol,110,0,0,1600,3,1050,Manual,NonMetcolor
248,12900,39,55678,Petrol,110,1,0,1600,4,1030,Manual,Metcolor
249,13500,43,55539,Petrol,110,1,0,1600,5,1085,Manual,Metcolor
250,11750,42,55400,Petrol,110,0,0,1600,5,1075,Manual,NonMetcolor
251,11750,33,55350,Petrol,110,0,0,1600,5,1075,Manual,NonMetcolor
252,10850,43,54600,Petrol,110,0,0,1600,4,1030,Manual,NonMetcolor
253,11750,43,53773,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
254,14950,42,53719,Petrol,110,1,1,1600,5,1105,Auto,Metcolor
255,9940,39,53644,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
256,12900,42,53350,Petrol,110,0,0,1600,5,1075,Manual,NonMetcolor
257,13500,38,53000,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
258,11750,44,52084,Petrol,97,1,0,1400,3,1025,Manual,Metcolor
259,11950,44,52000,Petrol,97,0,0,1400,3,1025,Manual,NonMetcolor
260,13450,33,51945,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
261,11950,41,51732,Petrol,97,1,0,1400,3,1025,Manual,Metcolor
262,12495,39,50873,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
263,13500,41,50856,Petrol,110,0,0,1600,4,1030,Manual,NonMetcolor
264,12750,40,50640,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
265,12000,39,50000,Petrol,97,1,0,1400,5,1060,Manual,Metcolor
266,11950,38,49500,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
267,12495,44,49332,Petrol,110,1,0,1600,5,1080,Manual,Metcolor
268,12450,34,49291,Petrol,110,1,0,1600,3,1040,Manual,Metcolor
269,14750,40,48952,Diesel,90,1,0,2000,5,1205,Manual,Metcolor
270,10950,39,48945,Petrol,110,0,0,1600,3,1040,Manual,NonMetcolor
271,13500,33,48928,Diesel,69,1,0,1900,3,1105,Manual,Metcolor
272,12950,38,48197,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
273,13500,35,48052,Diesel,69,1,0,1900,3,1105,Manual,Metcolor
274,13450,34,48011,Petrol,110,1,0,1600,4,1030,Manual,Metcolor
275,13500,43,48000,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
276,11480,41,47350,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
277,13450,39,46821,Petrol,97,1,0,1400,5,1060,Manual,Metcolor
278,11495,39,46694,Petrol,110,0,0,1600,3,1040,Manual,NonMetcolor
279,12750,43,46515,Petrol,97,0,0,1400,5,1025,Manual,NonMetcolor
280,14990,38,46327,Petrol,110,1,0,1600,3,1055,Manual,Metcolor
281,12950,35,46304,Petrol,97,1,0,1400,5,1060,Manual,Metcolor
282,12950,40,45886,Petrol,110,1,0,1600,5,1080,Manual,Metcolor
283,12850,39,45713,Petrol,97,1,0,1400,5,1085,Manual,Metcolor
284,13950,40,45600,Petrol,110,1,1,1600,5,1105,Auto,Metcolor
285,11950,41,45287,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
286,12950,39,45081,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
287,11700,40,44830,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
288,9950,37,44757,Petrol,97,0,0,1400,3,1025,Manual,NonMetcolor
289,11895,44,44218,Petrol,97,1,0,1400,5,1060,Manual,Metcolor
290,12950,43,43632,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
291,12500,36,43427,Petrol,110,1,0,1600,3,1040,Manual,Metcolor
292,13875,39,43254,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
293,10500,35,43000,Petrol,110,0,0,1600,3,1050,Manual,NonMetcolor
294,12295,33,42823,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
295,13950,42,42560,Petrol,110,1,0,1600,5,1080,Manual,Metcolor
296,10950,38,41754,Petrol,110,0,0,1600,3,1040,Manual,NonMetcolor
297,12950,44,41499,CNG,110,1,0,1600,5,1103,Manual,Metcolor
298,12850,40,41339,Petrol,110,1,0,1600,5,1080,Manual,Metcolor
299,13995,35,41000,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
300,13750,39,40000,Petrol,110,1,0,1600,3,1055,Manual,Metcolor
301,12750,37,39757,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
302,12500,41,39659,Petrol,110,1,0,1600,3,1045,Manual,Metcolor
303,13950,43,39650,Petrol,110,0,0,1600,3,1055,Manual,NonMetcolor
304,11500,39,39524,Petrol,97,1,0,1398,3,1025,Manual,Metcolor
305,13950,44,39516,Petrol,97,1,0,1400,5,1060,Manual,Metcolor
306,11895,41,39439,Petrol,97,0,0,1400,5,1060,Manual,NonMetcolor
307,9950,44,39000,Petrol,97,1,0,1400,3,1025,Manual,Metcolor
308,13500,42,38932,Petrol,110,1,0,1600,3,1040,Manual,Metcolor
309,11450,37,38812,Petrol,97,0,0,1400,3,1025,Manual,NonMetcolor
310,12450,42,38665,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
311,12950,40,38653,Petrol,110,1,0,1600,5,1080,Manual,Metcolor
312,13995,44,38461,Petrol,110,1,0,1600,5,1080,Manual,Metcolor
313,11750,42,38078,Petrol,97,0,0,1400,3,1025,Manual,NonMetcolor
314,11650,39,37782,Petrol,97,1,0,1400,5,1060,Manual,Metcolor
315,9950,43,37576,Petrol,97,0,0,1400,3,1030,Manual,NonMetcolor
316,13950,41,37533,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
317,12950,44,37389,Petrol,110,1,0,1600,5,1080,Manual,Metcolor
318,10950,38,37320,Petrol,97,1,0,1400,3,1025,Manual,Metcolor
319,9900,42,37000,Petrol,97,1,0,1400,3,1025,Manual,Metcolor
320,11950,44,37000,Petrol,110,0,0,1600,4,1075,Manual,NonMetcolor
321,11990,40,36566,Petrol,110,0,0,1600,5,1090,Manual,NonMetcolor
322,10750,36,36269,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
323,13950,37,36074,Petrol,110,1,1,1600,5,1075,Auto,Metcolor
324,11250,44,36066,Petrol,110,1,0,1600,3,1040,Manual,Metcolor
325,12950,39,34599,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
326,11950,41,34000,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
327,10950,42,33623,Petrol,97,1,0,1400,3,1025,Manual,Metcolor
328,12950,33,33591,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
329,12950,35,33258,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
330,11695,43,33113,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
331,11000,41,33000,Petrol,110,1,1,1600,5,1075,Auto,Metcolor
332,13950,35,32941,Petrol,110,1,0,1600,5,1080,Manual,Metcolor
333,11950,38,32781,Petrol,110,0,0,1600,5,1075,Manual,NonMetcolor
334,11750,40,32532,Petrol,110,1,0,1600,3,1040,Manual,Metcolor
335,12400,34,32431,Petrol,97,1,0,1400,5,1060,Manual,Metcolor
336,12500,35,32000,Petrol,110,0,0,1600,3,1040,Manual,NonMetcolor
337,12900,33,31000,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
338,12200,41,30989,Petrol,110,0,0,1600,3,1045,Manual,NonMetcolor
339,12750,43,30742,Petrol,110,1,0,1600,3,1040,Manual,Metcolor
340,11950,42,30190,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
341,11900,41,29716,Petrol,116,1,0,1600,5,1075,Manual,Metcolor
342,11950,44,29716,Petrol,110,1,1,1600,3,1070,Auto,Metcolor
343,14950,42,29640,Petrol,110,0,0,1600,3,1055,Manual,NonMetcolor
344,11950,41,29056,Petrol,97,1,0,1400,5,1060,Manual,Metcolor
345,12950,33,28715,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
346,14950,41,28571,Petrol,110,0,0,1600,5,1090,Manual,NonMetcolor
347,13450,40,28362,Petrol,110,1,0,1600,3,1040,Manual,Metcolor
348,13750,38,28150,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
349,12950,43,27301,Petrol,110,1,0,1600,3,1040,Manual,Metcolor
350,12750,33,27240,Petrol,110,1,0,1600,5,1075,Manual,Metcolor
351,11895,39,27170,Petrol,97,1,0,1400,5,1060,Manual,Metcolor
352,9950,42,27141,Petrol,97,1,0,1400,5,1060,Manual,Metcolor
